vs. Model;Deutsch;Russian;Englisch;;;
-;der Müll, sg.;мусор, м.;;;;
-;die Tonne, -n;мусорный бак, м.;;;;
-;der Schinken, -;ветчина, ж.;;;;
-;das Salz, -e;соль, ж.;;;;
-;das Mehl, pl.;мука, ж.;;;;
-;"das Kraut, -""-er";капуста / зелень, ж.;;;;
-;der Nachtisch, -e;десерт, м.;;;;
-;"der Anschluss,""-e";подсоединение / подключение, с.;;;;
-;die Nummer, -n;номер, м.;;;;
-;das Foto, -s;фотография, ж.;;;;
-;die Karte, -n ;карта, ж.;;;;
-;das Formular,-e;формуляр, м.;;;;
-;"das Wörterbuch,""-er";словарь, м.;;;;
-;"das Notizbuch, ""-er";записная книжка, ж.;;;;
-;die Kopie, -n;фотокопия / копия, ж.;;;;
-;das Rezept, -e;рецепт, м.;;;;
-;der Kakao, -s;какао, с.;;;;
-;"der Saft, ""-e ";сок, м.;;;;
-;das Mineralwasser, sg. ;минеральная вода, ж.;;;;
-;das Wasser sg.;вода, ж.;;;;
-;der Kaffee, -s ;кофе, с.;;;;
-;die Cola, -s;кола, ж.;;;;
-;die Wolke, -n;облако, с.;;;;
-;das Meer, -e;море, с.;;;;
-;der Berg, -e;гора, ж.;;;;
-;"der Wald, ""-er";лес, м.;;;;
-;"der Strand, ""-e";берег, м.;;;;
-;der See, -n;озеро, с.;;;;
